3.241000000000000103e+00 6.280000000000000027e-01 1.206300000000000061e+01 1.653999999999999915e+00
4.217999999999999972e+00 3.524999999999999911e+00 1.405499999999999972e+01 1.921999999999999931e+00
4.889999999999999902e-01 6.039999999999999813e-01 9.701000000000000512e+00 1.020000000000000018e+00
5.330000000000000293e-01 5.370000000000000329e-01 1.196299999999999919e+01 7.900000000000000078e-02
5.899999999999999689e-01 1.020000000000000018e+00 9.163000000000000256e+00 1.199000000000000066e+00
5.623999999999999666e+00 8.371999999999999886e+00 1.485100000000000087e+01 3.561999999999999833e+00
2.580900000000000105e+01 2.572500000000000142e+01 2.039699999999999847e+01 1.024499999999999922e+01
2.734499999999999886e+01 2.738500000000000156e+01 1.739999999999999858e+01 1.039300000000000068e+01
2.273999999999999844e+01 2.356899999999999906e+01 1.752700000000000102e+01 9.191000000000000725e+00
1.479400000000000048e+01 1.246799999999999997e+01 1.545400000000000063e+01 1.162400000000000055e+01
7.729000000000000092e+00 8.898999999999999133e+00 1.816000000000000014e+01 8.744999999999999218e+00
1.359699999999999953e+01 1.566900000000000048e+01 1.747700000000000031e+01 8.599999999999999312e-02
1.598199999999999932e+01 1.474399999999999977e+01 2.197500000000000142e+01 1.161800000000000033e+01
1.929899999999999949e+01 1.957400000000000162e+01 1.894399999999999906e+01 1.288499999999999979e+01
2.138599999999999923e+01 2.052400000000000091e+01 2.379599999999999937e+01 1.376699999999999946e+01
7.924999999999999822e+00 1.445299999999999940e+01 2.436499999999999844e+01 1.572199999999999953e+01
7.019999999999999574e+00 1.376099999999999923e+01 2.265399999999999991e+01 1.273399999999999999e+01
7.926999999999999602e+00 1.498900000000000077e+01 3.012199999999999989e+01 2.217500000000000071e+01
5.301000000000000156e+00 8.762999999999999901e+00 3.325399999999999778e+01 5.352999999999999758e+00
1.354999999999999982e+00 2.918000000000000149e+00 4.161699999999999733e+01 1.784400000000000119e+01
1.626599999999999824e+01 1.755300000000000082e+01 3.576400000000000290e+01 2.707100000000000151e+01
5.945999999999999730e+00 1.422300000000000075e+01 4.277600000000000335e+01 2.030000000000000071e+01
